ano,sigla_uf,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2017,TO,publica,superior,14694,97.38669,2384.23,3569.52,3680.633,4367.31,1986.894,37.63731,3911.685
2017,ES,publica,superior,40412,93.07631,1983.89,2380.12,2852.943,3097.84,2028.08,26.60774,4288.891
2017,MG,publica,superior,194120,97.98424,1941.825,2418.4,2907.044,3354.58,1902.497,25.26092,4603.226
2017,RJ,publica,superior,101913,97.32615,1907.93,2619.28,3444.58,4127.935,2423.412,29.16467,4724.32
2017,SP,publica,superior,324606,98.40699,2397.7,3229.58,3672.846,4392.6,2000.378,32.10819,4575.588
2017,PR,publica,superior,106089,97.9357,2184.98,2974.49,3393.429,3944.035,1923.58,24.08394,5636.002
2017,RS,publica,superior,95046,98.49336,1961.61,2536.07,3058.648,3412.54,2078.184,26.46908,4622.221
2017,SC,publica,superior,64212,97.83062,1929.826,2922.09,3357.129,4088.32,2235.069,29.17301,4603.061
2014,DF,estadual,total,21498,97.80445,4076.21,6279.06,6286.676,8306.37,2358.003,35.58148,7067.356
2014,GO,estadual,total,19661,99.72026,1696.81,3276.52,3137.185,4401.96,1484.865,37.12074,3380.52
2014,MS,estadual,total,12307,96.37605,1882.54,2486.44,2675.635,3305.9,1150.419,20.90986,5118.416
2014,MT,estadual,total,17833,98.18314,1070.687,2006.342,1996.416,2681.664,1078.771,39.99952,1996.439
2014,AL,estadual,total,6815,44.03522,1389.96,1492.73,1933.1,2195.47,883.6848,25.89546,2986.005
2014,BA,estadual,total,36757,78.41228,2138.47,4020.48,3888.516,5406.6,1935.859,33.5949,4629.889
2014,CE,estadual,total,20079,69.70467,1005.894,1538.356,1921.646,2621.86,1211.235,28.51273,2695.843
2014,MA,estadual,total,18617,94.38685,2179.01,2531.07,2703.347,3261.92,1236.74,23.86003,4532.009
2014,PB,estadual,total,16621,91.3122,858.16,1554.7,1560.675,2078.39,696.4494,30.01993,2079.519
2014,PE,estadual,total,24334,98.15895,1295.15,1770.68,2227.495,2825.83,1072.295,35.35668,2520.027
2014,PI,estadual,total,12419,90.89299,1198.04,2085.73,1987.15,2702.58,868.1812,32.71861,2429.382
2014,RN,estadual,total,9501,84.34902,2024.375,2275.82,2391.867,2669.79,523.8853,40.0,2391.867
2014,SE,estadual,total,6258,99.72835,3294.63,3671.42,3904.507,4274.14,929.0104,39.92584,3911.759
2014,AC,estadual,total,7063,87.56902,2010.94,2522.06,2601.378,3093.51,1030.176,27.75644,3748.863
2014,AM,estadual,total,15213,94.7019,1806.89,2123.42,2474.829,3062.76,991.2527,30.00246,3299.502
2014,AP,estadual,total,7461,80.67283,3416.27,4178.52,4618.167,5508.59,1674.481,39.97639,4620.894
2014,PA,estadual,total,16465,99.34406,3958.82,5172.69,5138.168,6231.78,1677.005,20.38301,10083.24
2014,RO,estadual,total,8264,98.31801,1988.63,2286.92,2214.4,2491.01,432.7655,38.09227,2325.301
2014,RR,estadual,total,4418,97.21593,2116.67,3054.32,3177.505,3956.3,1415.622,30.05294,4229.209
2014,TO,estadual,total,7374,99.18633,2895.54,3344.83,3202.456,3715.89,841.4548,39.99346,3202.979
2014,ES,estadual,total,14537,99.25019,1754.01,2163.61,2186.039,2539.67,803.4974,35.43716,2467.51
